source_path,file_name,size_bytes,sha256,role_or_decision,included_in_package,package_path,notes
/Users/dlev2617/Documents/Papers/~05-Published/ASCE - Journal of Transportation Engineering/ASCE-Speed/letter5.ASCE,letter5.ASCE,9728,22e1213ffaf331978e3bf1a8f430cec63a49733cb17ec0712dc5207d57f98696,excluded_nonarchival_or_not_needed,no,,"Excluded: correspondence, manuscript/draft/reference/figure support, or not needed for data recovery."
/Users/dlev2617/Documents/Papers/~05-Published/ASCE - Journal of Transportation Engineering/ASCE-Speed/LINKS87+ Systat,LINKS87+ Systat,357484,71a57a383dbbfe31ae2d3e43993f7e02fc70fe3cbae191bbf1e4349a3feaa616,included_original_legacy_systat_dataset,yes,data/link_observations/original_legacy/montgomery_county_1987_links87_systat_binary.dat,Included as original legacy analytical Systat dataset.
/Users/dlev2617/Documents/Papers/~05-Published/ASCE - Journal of Transportation Engineering/ASCE-Speed/links87.xls,links87.xls,1147392,aeabb0741b87246b6498c00f2e11f03bc3e14b7880fec943374a0f0fc9127c3a,included_original_link_dataset_workbook,yes,data/link_observations/original_legacy/montgomery_county_1987_links87_raw_data_excel.xls,Included as original legacy analytical source workbook.
/Users/dlev2617/Documents/Papers/~05-Published/ASCE - Journal of Transportation Engineering/ASCE-Speed/map-label,map-label,6656,c08fb260cf3b991929454b2d78ed9afd2f43494a9606b21d868dd47120a6a8ad,excluded_nonarchival_or_not_needed,no,,"Excluded: correspondence, manuscript/draft/reference/figure support, or not needed for data recovery."
/Users/dlev2617/Documents/Papers/~05-Published/ASCE - Journal of Transportation Engineering/ASCE-Speed/speed.cuts,speed.cuts,21504,fc4380c99f04d473f732ac1b41f3adc88433004a659fb7a8265dbd2fff5d315a,excluded_nonarchival_or_not_needed,no,,"Excluded: correspondence, manuscript/draft/reference/figure support, or not needed for data recovery."
/Users/dlev2617/Documents/Papers/~05-Published/ASCE - Journal of Transportation Engineering/ASCE-Speed/Speed.XLS,Speed.XLS,82944,7f31c2a0668401c896607c585ea37aa3035d3883a940c59727a1a13dc15cdebb,included_original_publication_tables_workbook,yes,data/publication_tables/original_legacy/speed_delay_publication_tables_regression_figures.xls,Included as original publication tables/regression/figure workbook.
/Users/dlev2617/Documents/Papers/~05-Published/ASCE - Journal of Transportation Engineering/ASCE-Speed/speed2.html,speed2.html,41879,d855ac4ed92656496533468052129f35d36fec510112a0814f7e1b2eddfd1f67,excluded_nonarchival_or_not_needed,no,,"Excluded: correspondence, manuscript/draft/reference/figure support, or not needed for data recovery."
/Users/dlev2617/Documents/Papers/~05-Published/ASCE - Journal of Transportation Engineering/ASCE-Speed/speed2.msw,speed2.msw,89088,a6a746dc0246a0225aba802e75391c0c97af98d006148834b084edd260cdaf86,excluded_nonarchival_or_not_needed,no,,"Excluded: correspondence, manuscript/draft/reference/figure support, or not needed for data recovery."
/Users/dlev2617/Documents/Papers/~05-Published/ASCE - Journal of Transportation Engineering/ASCE-Speed/speed3.msw,speed3.msw,73728,e7fb960a6fd8fea2707619217ff1c6afc9f33af47b9b0b69482723913ac372e5,excluded_nonarchival_or_not_needed,no,,"Excluded: correspondence, manuscript/draft/reference/figure support, or not needed for data recovery."
/Users/dlev2617/Documents/Papers/~05-Published/ASCE - Journal of Transportation Engineering/ASCE-Speed/speed4.msw,speed4.msw,74240,1c4280c0b340d19373bd544816c57e4d7527dbb787fefd48268010da1652cf9d,excluded_nonarchival_or_not_needed,no,,"Excluded: correspondence, manuscript/draft/reference/figure support, or not needed for data recovery."
